0.92,0.5,0.17,12.38,6.07,-4.33,69
0.91,0.46,0.14,0.27,2.32,-3.81,69
0.9,0.43,0.12,-5.73,-0.24,-4.94,69
0.91,0.43,0.12,-6.62,-2.29,-6.31,69
0.9,0.45,0.14,-8.05,-4.09,-5.55,69
0.88,0.47,0.15,-11.74,-5.46,-3.96,69
0.86,0.46,0.16,-15.06,-6.46,-1.37,69
0.87,0.46,0.16,-16.52,-6.62,1.4,69
0.89,0.45,0.16,-16.74,-6.01,3.57,69
0.88,0.44,0.15,-16.95,-4.33,6.04,69
0.83,0.41,0.13,-15.34,-1.62,7.56,69
0.8,0.38,0.11,-9.02,1.37,6.98,69
0.8,0.39,0.11,0.82,4.27,4.85,69
0.83,0.42,0.12,8.41,6.01,3.81,69
0.85,0.45,0.13,10.21,6.46,4.09,69
0.87,0.47,0.12,8.93,6.49,5.21,69
0.88,0.47,0.11,8.23,6.49,7.29,69
0.88,0.48,0.1,8.57,6.25,9.48,69
0.88,0.47,0.09,9.54,5.27,11.37,69
0.87,0.46,0.1,12.38,4.09,12.07,69
0.88,0.46,0.1,16.89,3.48,11.34,69
0.9,0.47,0.11,20.03,3.11,9.48,69
0.94,0.48,0.13,20.03,2.74,6.92,69
0.99,0.48,0.13,18.9,2.99,3.96,69
1,0.47,0.13,19.6,4.51,1.13,69
0.99,0.45,0.12,23.05,6.19,-2.38,69
0.96,0.43,0.13,28.35,6.95,-5.79,69
0.92,0.44,0.16,31.59,6.68,-8.45,69
0.87,0.44,0.16,30,5.76,-10.98,69
0.82,0.44,0.17,25.03,3.26,-12.07,69
0.8,0.46,0.18,17.04,0.27,-11.25,69
0.79,0.47,0.18,6.43,-3.02,-8.11,69
0.8,0.47,0.17,-5.46,-5.79,-2.77,69
0.81,0.47,0.15,-14.48,-7.32,3.96,69
0.83,0.48,0.15,-19.09,-8.41,11.95,69
0.86,0.48,0.16,-20.06,-8.93,20.09,69
0.88,0.47,0.16,-17.56,-7.53,26.22,69
0.89,0.46,0.17,-11.59,-4.73,30.12,69
0.9,0.45,0.17,-6.04,-0.91,30.85,69
0.89,0.43,0.16,-2.23,1.83,28.54,69
0.88,0.41,0.16,0.95,3.23,23.26,69
0.87,0.4,0.17,3.96,3.32,15.49,69
0.87,0.42,0.18,4.73,2.1,8.11,69
0.87,0.45,0.19,2.2,-0.34,1.43,69
0.88,0.47,0.2,-3.02,-3.41,-3.84,69
0.89,0.49,0.19,-10.98,-5.95,-6.01,69
0.89,0.48,0.18,-19.33,-7.99,-6.68,69
0.89,0.47,0.16,-23.93,-9.05,-6.13,69
0.88,0.46,0.16,-25.24,-8.75,-4.82,69
0.87,0.45,0.15,-24.15,-7.44,-3.11,69
0.86,0.44,0.15,-21.68,-5.46,-1.49,69
0.85,0.44,0.14,-18.6,-3.17,-1.37,69
0.86,0.44,0.14,-15.49,-1.16,-2.5,69
0.86,0.44,0.15,-14.09,0.46,-3.96,69
0.88,0.45,0.14,-14.7,1.34,-6.01,69
0.89,0.44,0.13,-15.24,1.46,-8.17,69
0.9,0.44,0.13,-13.75,1.34,-10.27,69
0.9,0.44,0.13,-10.95,1.31,-12.62,69
0.9,0.43,0.12,-8.51,0.85,-14.54,69
0.9,0.43,0.12,-7.13,0.46,-15.82,69
0.89,0.43,0.12,-6.8,-0.12,-16.95,69
0.88,0.43,0.13,-7.2,-0.85,-18.05,69
0.88,0.42,0.13,-7.68,-1.37,-18.75,69
0.88,0.41,0.12,-7.53,-1.43,-19.15,69
0.89,0.41,0.12,-5.55,-1.25,-19.24,69
0.89,0.41,0.11,-2.1,-0.7,-19.12,69
0.88,0.41,0.12,1.4,-0.15,-18.57,69
0.88,0.42,0.12,3.66,0.03,-18.02,69
0.88,0.42,0.12,4.54,0.15,-17.07,69
0.89,0.42,0.13,4.85,0.21,-15.82,69
0.89,0.41,0.12,6.01,0.4,-14.39,69
0.89,0.41,0.12,8.08,0.55,-12.74,69
0.89,0.42,0.13,9.82,0.34,-11.01,69
0.89,0.42,0.14,10.18,0.09,-8.9,69
0.88,0.42,0.14,9.79,0.18,-6.74,69
0.88,0.41,0.13,10.58,0.46,-5.03,69
0.88,0.41,0.14,12.38,0.61,-3.41,69
0.88,0.41,0.15,13.9,0.95,-1.89,69
0.88,0.42,0.15,14.36,1.31,-0.12,69
0.88,0.42,0.15,14.54,1.74,1.71,69
0.88,0.43,0.15,15.12,1.98,3.51,69
0.88,0.43,0.16,15.55,1.92,5.55,69
0.88,0.44,0.16,15.15,1.8,7.74,69
0.88,0.44,0.16,14.24,1.59,9.97,69
0.88,0.45,0.16,12.9,1.16,12.23,69
0.88,0.45,0.16,11.46,0.91,14.42,69
0.88,0.45,0.15,10.58,0.73,16.49,69
